Wavelength,n,k
27.2458,15.5603,16.9169
27.3679,15.5988,16.9529
27.49,15.6372,16.9889
27.612,15.6756,17.0247
27.7341,15.7139,17.0605
27.8562,15.752,17.0963
27.9783,15.7901,17.1319
28.1003,15.8281,17.1675
28.2224,15.866,17.2029
28.3445,15.9038,17.2383
28.4666,15.9416,17.2737
28.5886,15.9792,17.3089
28.7107,16.0167,17.3441
28.8328,16.0542,17.3792
28.9548,16.0916,17.4142
29.0769,16.1289,17.4491
29.199,16.1661,17.484
29.3211,16.2032,17.5188
29.4431,16.2402,17.5535
29.5652,16.2772,17.5882
29.6873,16.314,17.6227
29.8094,16.3508,17.6572
29.9314,16.3875,17.6917
30.0535,16.4241,17.726
30.1756,16.4607,17.7603
30.2977,16.4971,17.7946
30.4197,16.5335,17.8287
30.5418,16.5698,17.8628
30.6639,16.606,17.8968
30.786,16.6422,17.9308
30.908,16.6782,17.9646
31.0301,16.7142,17.9984
31.1522,16.7501,18.0322
31.2742,16.7859,18.0659
31.3963,16.8217,18.0995
31.5184,16.8574,18.133
31.6405,16.893,18.1665
31.7625,16.9285,18.1999
31.8846,16.964,18.2333
32.0067,16.9994,18.2666
32.1288,17.0347,18.2998
32.2508,17.0699,18.3329
32.3729,17.1051,18.366
32.495,17.1402,18.3991
32.6171,17.1752,18.432
32.7391,17.2101,18.465
32.8612,17.245,18.4978
32.9833,17.2798,18.5306
33.1054,17.3146,18.5633
33.2274,17.3492,18.596
33.3495,17.3838,18.6286
33.4716,17.4184,18.6611
33.5936,17.4528,18.6936
33.7157,17.4872,18.726
33.8378,17.5216,18.7584
33.9599,17.5558,18.7907
34.0819,17.59,18.823
34.204,17.6241,18.8552
34.3261,17.6582,18.8873
34.4482,17.6922,18.9194
34.5702,17.7261,18.9514
34.6923,17.76,18.9834
34.8144,17.7938,19.0153
34.9365,17.8275,19.0471
35.0585,17.8612,19.0789
35.1806,17.8948,19.1107
35.3027,17.9284,19.1423
35.4247,17.9619,19.174
35.5468,17.9953,19.2056
35.6689,18.0287,19.2371
35.791,18.062,19.2685
35.913,18.0952,19.3
36.0351,18.1284,19.3313
36.1572,18.1615,19.3626
36.2793,18.1945,19.3939
36.4013,18.2275,19.4251
36.5234,18.2605,19.4562
36.6455,18.2934,19.4873
36.7676,18.3262,19.5184
36.8896,18.3589,19.5494
37.0117,18.3916,19.5803
37.1338,18.4243,19.6112
37.2559,18.4569,19.6421
37.3779,18.4894,19.6729
37.5,18.5219,19.7036
