wavelength_m,real_index,imaginary_index
8.13639E-07,2.004135934,0
8.15211E-07,2.004055934,0
8.16782E-07,2.003985934,0
8.18353E-07,2.003915934,0
8.19924E-07,2.003845934,0
8.21495E-07,2.003775934,0
8.23066E-07,2.003705934,0
8.24637E-07,2.003635934,0
8.26208E-07,2.003565934,0
8.27778E-07,2.003495934,0
8.29349E-07,2.003425934,0
8.30919E-07,2.003355934,0
8.32489E-07,2.003285934,0
8.34059E-07,2.003225934,0
8.35629E-07,2.003155934,0
8.37199E-07,2.003085934,0
8.38768E-07,2.003025934,0
8.40338E-07,2.002955934,0
8.41907E-07,2.002885934,0
8.43477E-07,2.002825934,0
8.45046E-07,2.002755934,0
8.46615E-07,2.002695934,0
8.48184E-07,2.002635934,0
8.49752E-07,2.002565934,0
8.51321E-07,2.002505934,0
8.5289E-07,2.002445934,0
8.54458E-07,2.002375934,0
8.56026E-07,2.002315934,0
8.57594E-07,2.002255934,0
8.59162E-07,2.002195934,0
8.6073E-07,2.002135934,0
8.62298E-07,2.002075934,0
8.63865E-07,2.002005934,0
8.65433E-07,2.001945934,0
0.000000867,2.001885934,0
8.68567E-07,2.001835934,0
8.70134E-07,2.001775934,0
8.71701E-07,2.001715934,0
8.73268E-07,2.001655934,0
8.74835E-07,2.001595934,0
8.76401E-07,2.001535934,0
8.77967E-07,2.001485934,0
8.79534E-07,2.001425934,0
8.811E-07,2.001365934,0
8.82666E-07,2.001315934,0
8.84231E-07,2.001255934,0
8.85797E-07,2.001195934,0
8.87362E-07,2.001145934,0
8.88928E-07,2.001085934,0
8.90493E-07,2.001035934,0
8.92058E-07,2.000975934,0
8.93623E-07,2.000925934,0
8.95188E-07,2.000875934,0
8.96753E-07,2.000815934,0
8.98317E-07,2.000765934,0
8.99881E-07,2.000715934,0
9.01446E-07,2.000655934,0
9.0301E-07,2.000605934,0
9.04574E-07,2.000555934,0
9.06137E-07,2.000505934,0
9.07701E-07,2.000445934,0
9.09264E-07,2.000395934,0
9.10828E-07,2.000345934,0
9.12391E-07,2.000295934,0
9.13954E-07,2.000245934,0
9.15517E-07,2.000195934,0
9.17079E-07,2.000145934,0
9.18642E-07,2.000095934,0
9.20204E-07,2.000045934,0
9.21767E-07,1.999995934,0
9.23329E-07,1.999945934,0
9.24891E-07,1.999895934,0
9.26453E-07,1.999855934,0
9.28014E-07,1.999805934,0
9.29576E-07,1.999755934,0
9.31137E-07,1.999705934,0
9.32698E-07,1.999655934,0
9.34259E-07,1.999615934,0
9.3582E-07,1.999565934,0
9.37381E-07,1.999515934,0
9.38942E-07,1.999475934,0
9.40502E-07,1.999425934,0
9.42062E-07,1.999385934,0
9.43622E-07,1.999335934,0
9.45182E-07,1.999285934,0
9.46742E-07,1.999245934,0
9.48302E-07,1.999195934,0
9.49861E-07,1.999155934,0
9.5142E-07,1.999105934,0
9.52979E-07,1.999065934,0
9.54538E-07,1.999025934,0
9.56097E-07,1.998975934,0
9.57656E-07,1.998935934,0
9.59214E-07,1.998895934,0
9.60772E-07,1.998845934,0
9.62331E-07,1.998805934,0
9.63889E-07,1.998765934,0
9.65446E-07,1.998715934,0
9.67004E-07,1.998675934,0
9.68562E-07,1.998635934,0
9.70119E-07,1.998595934,0
9.71676E-07,1.998555934,0
9.73233E-07,1.998515934,0
9.7479E-07,1.998465934,0
9.76346E-07,1.998425934,0
9.77903E-07,1.998385934,0
9.79459E-07,1.998345934,0
9.81015E-07,1.998305934,0
9.82571E-07,1.998265934,0
9.84127E-07,1.998225934,0
9.85682E-07,1.998185934,0
9.87238E-07,1.998145934,0
9.88793E-07,1.998105934,0
9.90348E-07,1.998065934,0
9.91903E-07,1.998025934,0
9.93458E-07,1.997995934,0
9.95013E-07,1.997955934,0
9.96567E-07,1.997915934,0
9.98121E-07,1.997875934,0
9.99675E-07,1.997835934,0
1.0124E-06,1.997535934,0
1.01576E-06,1.997455934,0
1.01913E-06,1.997375934,0
1.0225E-06,1.997295934,0
1.02587E-06,1.997225934,0
1.02924E-06,1.997145934,0
1.0326E-06,1.997075934,0
1.03597E-06,1.996995934,0
1.03935E-06,1.996925934,0
1.04272E-06,1.996855934,0
1.04609E-06,1.996785934,0
1.04946E-06,1.996705934,0
1.05283E-06,1.996635934,0
1.05621E-06,1.996565934,0
1.05958E-06,1.996495934,0
1.06295E-06,1.996435934,0
1.06633E-06,1.996365934,0
1.0697E-06,1.996295934,0
1.07308E-06,1.996225934,0
1.07646E-06,1.996165934,0
1.07983E-06,1.996095934,0
1.08321E-06,1.996035934,0
1.08659E-06,1.995965934,0
1.08997E-06,1.995905934,0
1.09335E-06,1.995845934,0
1.09673E-06,1.995785934,0
1.10011E-06,1.995715934,0
1.10349E-06,1.995655934,0
