wavelength_nm,real_index,imaginary_index
837.19873,1.458007428,0
838.768372,1.457987428,0
840.337891,1.457967428,0
841.907349,1.457947428,0
843.476685,1.457917428,0
845.045776,1.457897428,0
846.614746,1.457877428,0
848.183716,1.457857428,0
849.752441,1.457837428,0
851.321106,1.457807428,0
852.889526,1.457787428,0
854.457886,1.457767428,0
856.026184,1.457747428,0
857.594238,1.457727428,0
859.162231,1.457697428,0
860.730103,1.457677428,0
862.297729,1.457657428,0
863.865356,1.457637428,0
865.4328,1.457617428,0
867.000122,1.457597428,0
868.567261,1.457577428,0
870.134277,1.457557428,0
871.701172,1.457537428,0
873.267944,1.457507428,0
874.834595,1.457487428,0
876.401062,1.457467428,0
877.967407,1.457447428,0
879.533569,1.457427428,0
881.099609,1.457407428,0
882.665527,1.457387428,0
884.231323,1.457367428,0
885.796997,1.457347428,0
887.362488,1.457327428,0
888.927856,1.457307428,0
890.493042,1.457287428,0
892.058105,1.457267428,0
893.623047,1.457247428,0
895.187866,1.457227428,0
896.752563,1.457207428,0
898.317017,1.457187428,0
899.881348,1.457167428,0
901.445618,1.457147428,0
903.009644,1.457127428,0
904.573547,1.457107428,0
906.137329,1.457087428,0
907.700867,1.457067428,0
909.264343,1.457047428,0
910.827759,1.457027428,0
912.39093,1.457017428,0
913.953918,1.456997428,0
915.516785,1.456977428,0
917.079468,1.456957428,0
918.64209,1.456937428,0
920.204468,1.456917428,0
921.766785,1.456897428,0
923.328918,1.456877428,0
924.890808,1.456857428,0
926.452637,1.456847428,0
928.014282,1.456827428,0
929.575806,1.456807428,0
931.137085,1.456787428,0
932.698364,1.456767428,0
934.259399,1.456747428,0
935.82019,1.456737428,0
937.380981,1.456717428,0
938.941528,1.456697428,0
940.501831,1.456677428,0
942.062134,1.456657428,0
943.622253,1.456637428,0
945.182129,1.456627428,0
946.741882,1.456607428,0
948.301575,1.456587428,0
949.860962,1.456567428,0
951.420227,1.456557428,0
952.97937,1.456537428,0
954.538269,1.456517428,0
956.097046,1.456497428,0
957.655762,1.456477428,0
959.214172,1.456467428,0
960.772461,1.456447428,0
962.330688,1.456427428,0
963.88855,1.456417428,0
965.446411,1.456397428,0
967.004028,1.456377428,0
968.561523,1.456357428,0
970.118835,1.456347428,0
971.675964,1.456327428,0
973.23291,1.456307428,0
974.789734,1.456287428,0
976.346375,1.456277428,0
977.902832,1.456257428,0
979.459106,1.456237428,0
981.015259,1.456227428,0
982.571167,1.456207428,0
984.126953,1.456187428,0
985.682495,1.456177428,0
987.237976,1.456157428,0
988.793274,1.456137428,0
990.348328,1.456127428,0
991.903198,1.456107428,0
993.457886,1.456087428,0
995.012512,1.456077428,0
996.566895,1.456057428,0
998.121094,1.456037428,0
999.67511,1.456027428,0
1012.398132,1.455887428,0
1015.764526,1.455857428,0
1019.13147,1.455827428,0
1022.499023,1.455787428,0
1025.867065,1.455757428,0
1029.235718,1.455717428,0
1032.60498,1.455687428,0
1035.974731,1.455647428,0
1039.345093,1.455617428,0
1042.716064,1.455587428,0
1046.087524,1.455547428,0
1049.459473,1.455517428,0
1052.832153,1.455487428,0
1056.205322,1.455447428,0
1059.578979,1.455417428,0
1062.953369,1.455387428,0
1066.328125,1.455357428,0
1069.703613,1.455317428,0
1073.07959,1.455287428,0
1076.456055,1.455257428,0
1079.833252,1.455227428,0
1083.210938,1.455187428,0
1086.589111,1.455157428,0
1089.968018,1.455127428,0
1093.347412,1.455097428,0
1096.727295,1.455067428,0
1100.107666,1.455027428,0
1103.488892,1.454997428,0
1106.870361,1.454967428,0
1110.252686,1.454937428,0
1113.635498,1.454907428,0
1117.018799,1.454877428,0
1120.402588,1.454847428,0
1123.786987,1.454817428,0
1127.172119,1.454787428,0
1130.557617,1.454747428,0
1133.943726,1.454717428,0
1137.330444,1.454687428,0
1140.717773,1.454657428,0
1144.105591,1.454627428,0
1147.494019,1.454597428,0
1150.883057,1.454567428,0
1154.272461,1.454537428,0
1157.662598,1.454507428,0
1161.053223,1.454477428,0
1164.444458,1.454447428,0
1167.836182,1.454417428,0
1171.228638,1.454387428,0
1174.62146,1.454357428,0
1178.015015,1.454327428,0
1181.409058,1.454297428,0
1184.803589,1.454267428,0
1188.198853,1.454237428,0
1191.594482,1.454207428,0
1194.990845,1.454177428,0
1198.387695,1.454147428,0
1201.785156,1.454127428,0
1205.183228,1.454097428,0
1208.581787,1.454067428,0
1211.980835,1.454037428,0
1215.380615,1.454007428,0
1218.780762,1.453977428,0
1222.181519,1.453947428,0
1225.583008,1.453917428,0
1228.984863,1.453887428,0
1232.387451,1.453857428,0
1235.790527,1.453827428,0
1239.194092,1.453807428,0
1242.598389,1.453777428,0
1246.003174,1.453747428,0
1249.408447,1.453717428,0
1252.814331,1.453687428,0
1256.220825,1.453657428,0
1259.627808,1.453627428,0
1263.0354,1.453607428,0
1266.443604,1.453577428,0
1269.852295,1.453547428,0
1273.261475,1.453517428,0
1276.671387,1.453487428,0
1280.081787,1.453457428,0
1283.492798,1.453427428,0
1286.904297,1.453407428,0
1290.316406,1.453377428,0
1293.729004,1.453347428,0
1297.142334,1.453317428,0
1300.55603,1.453287428,0
1303.970459,1.453267428,0
1307.385376,1.453237428,0
1310.800903,1.453207428,0
1314.216919,1.453177428,0
1317.633545,1.453147428,0
1321.050659,1.453117428,0
1324.468506,1.453097428,0
1327.886719,1.453067428,0
1331.305542,1.453037428,0
1334.724976,1.453007428,0
1338.14502,1.452977428,0
1341.565674,1.452957428,0
1344.986694,1.452927428,0
1348.408447,1.452897428,0
1351.830688,1.452867428,0
1355.25354,1.452847428,0
1358.67688,1.452817428,0
1362.10083,1.452787428,0
1365.525391,1.452757428,0
1368.950439,1.452727428,0
1372.376099,1.452707428,0
1375.802246,1.452677428,0
1379.229004,1.452647428,0
1382.656372,1.452617428,0
1386.084229,1.452587428,0
1389.512817,1.452567428,0
1392.941772,1.452537428,0
1396.371338,1.452507428,0
1399.801514,1.452477428,0
1403.232178,1.452457428,0
1406.663574,1.452427428,0
1410.095459,1.452397428,0
1413.527832,1.452367428,0
1416.960693,1.452347428,0
1420.394287,1.452317428,0
1423.828369,1.452287428,0
1427.263062,1.452257428,0
1430.698364,1.452227428,0
1434.134155,1.452207428,0
1437.570557,1.452177428,0
1441.007446,1.452147428,0
1444.444946,1.452117428,0
1447.883057,1.452097428,0
1451.321533,1.452067428,0
1454.760864,1.452037428,0
1458.200562,1.452007428,0
1461.640869,1.451977428,0
1465.081787,1.451957428,0
1468.523193,1.451927428,0
1471.96521,1.451897428,0
1475.407715,1.451867428,0
1478.85083,1.451847428,0
1482.294678,1.451817428,0
1485.738892,1.451787428,0
1489.183716,1.451757428,0
1492.62915,1.451727428,0
1496.074951,1.451707428,0
1499.521606,1.451677428,0
1502.968628,1.451647428,0
1506.41626,1.451617428,0
1509.864502,1.451597428,0
1513.313232,1.451567428,0
1516.762573,1.451537428,0
1520.212524,1.451507428,0
1523.662964,1.451477428,0
1527.114014,1.451457428,0
1530.565674,1.451427428,0
1534.017822,1.451397428,0
1537.470459,1.451367428,0
1540.923828,1.451337428,0
1544.377686,1.451317428,0
1547.832153,1.451287428,0
1551.287109,1.451257428,0
1554.742676,1.451227428,0
1558.19873,1.451197428,0
1561.655518,1.451177428,0
1565.112671,1.451147428,0
1568.570557,1.451117428,0
1572.028931,1.451087428,0
1575.487793,1.451057428,0
1578.947266,1.451037428,0
1582.407349,1.451007428,0
1585.86792,1.450977428,0
1589.329224,1.450947428,0
1592.790894,1.450917428,0
1596.253174,1.450897428,0
1599.716064,1.450867428,0
1603.179565,1.450837428,0
1606.643677,1.450807428,0
1610.108154,1.450777428,0
1613.573364,1.450747428,0
1617.039063,1.450727428,0
1620.505249,1.450697428,0
1623.972168,1.450667428,0
1627.439575,1.450637428,0
1630.907471,1.450607428,0
1634.376099,1.450577428,0
1637.845093,1.450557428,0
1641.314819,1.450527428,0
1644.784912,1.450497428,0
1648.255859,1.450467428,0
1651.727173,1.450437428,0
1655.198975,1.450407428,0
1658.671509,1.450377428,0
1662.144531,1.450357428,0
1665.618164,1.450327428,0
1669.092407,1.450297428,0
1672.567139,1.450267428,0
1676.042358,1.450237428,0
1679.518311,1.450207428,0
1682.994751,1.450177428,0
1686.47168,1.450147428,0
1689.949219,1.450127428,0
