freq(Hz)	6.00e+08	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
1.828217798e+00	3.196661431e-01
1.838724797e+00	2.863462363e-01
1.849231796e+00	2.587627899e-01
1.859738795e+00	2.370041965e-01
1.870245794e+00	2.210628431e-01
1.880752793e+00	2.108392771e-01
1.891259791e+00	2.061480476e-01
1.901766790e+00	2.067250317e-01
1.912273789e+00	2.122360258e-01
1.922780788e+00	2.222863638e-01
1.933287787e+00	2.364313026e-01
1.943794786e+00	2.541869129e-01
1.954301785e+00	2.750412052e-01
1.964808783e+00	2.984652299e-01
1.975315782e+00	3.239238970e-01
1.985822781e+00	3.508862807e-01
1.996329780e+00	3.788351941e-01
2.006836779e+00	4.072758466e-01
2.017343778e+00	4.357434267e-01
2.027850776e+00	4.638094865e-01
2.038357775e+00	4.910870397e-01
2.048864774e+00	5.172343215e-01
2.059371773e+00	5.419571952e-01
2.069878772e+00	5.650102268e-01
2.080385771e+00	5.861964830e-01
2.090892769e+00	6.053661380e-01
2.101399768e+00	6.224140062e-01
2.111906767e+00	6.372761377e-01
2.122413766e+00	6.499256363e-01
2.132920765e+00	6.603678740e-01
2.143427764e+00	6.686352834e-01
2.153934762e+00	6.747819160e-01
2.164441761e+00	6.788779523e-01
2.174948760e+00	6.810043420e-01
2.185455759e+00	6.812477441e-01
2.195962758e+00	6.796959180e-01
2.206469757e+00	6.764337001e-01
2.216976756e+00	6.715396764e-01
2.227483754e+00	6.650836354e-01
2.237990753e+00	6.571248614e-01
2.248497752e+00	6.477112971e-01
2.259004751e+00	6.368795801e-01
2.269511750e+00	6.246559256e-01
2.280018749e+00	6.110578077e-01
2.290525747e+00	5.960963607e-01
2.301032746e+00	5.797794074e-01
2.311539745e+00	5.621149982e-01
2.322046744e+00	5.431153329e-01
2.332553743e+00	5.228009271e-01
2.343060742e+00	5.012048774e-01
2.353567740e+00	4.783770784e-01
2.364074739e+00	4.543882489e-01
2.374581738e+00	4.293336278e-01
2.385088737e+00	4.033362136e-01
2.395595736e+00	3.765494333e-01
2.406102735e+00	3.491591453e-01
2.416609734e+00	3.213848983e-01
2.427116732e+00	2.934803900e-01
2.437623731e+00	2.657330934e-01
2.448130730e+00	2.384630382e-01
2.458637729e+00	2.120207621e-01
2.469144728e+00	1.867844644e-01
2.479651727e+00	1.631564182e-01
2.490158725e+00	1.415587168e-01
2.500665724e+00	1.224284427e-01
2.511172723e+00	1.062123669e-01
2.521679722e+00	9.336129190e-02
2.532186721e+00	8.432416222e-02
2.542693720e+00	7.954206949e-02
2.553200718e+00	7.944227842e-02
2.563707717e+00	8.443239861e-02
2.574214716e+00	9.489481987e-02
2.584721715e+00	1.111815199e-01
2.595228714e+00	1.336093415e-01
2.605735713e+00	1.624558217e-01
2.616242712e+00	1.979556408e-01
2.626749710e+00	2.402977407e-01
2.637256709e+00	2.896231451e-01
2.647763708e+00	3.460234964e-01
2.658270707e+00	4.095403045e-01
2.668777706e+00	4.801648898e-01
2.679284705e+00	5.578389818e-01
2.689791703e+00	6.424559266e-01
2.700298702e+00	7.338624393e-01
2.710805701e+00	8.318608322e-01
2.721312700e+00	9.362116402e-01
2.731819699e+00	1.046636560e+00
2.742326698e+00	1.162821623e+00
2.752833696e+00	1.284420508e+00
2.763340695e+00	1.411057931e+00
2.773847694e+00	1.542333022e+00
2.784354693e+00	1.677822623e+00
2.794861692e+00	1.817084463e+00
2.805368691e+00	1.959660149e+00
2.815875690e+00	2.105077935e+00
2.826382688e+00	2.252855266e+00
2.836889687e+00	2.402501051e+00
2.847396686e+00	2.553517700e+00
2.857903685e+00	2.705402910e+00
2.868410684e+00	2.857651232e+00
2.878917683e+00	3.009755441e+00
2.889424681e+00	3.161207754e+00
2.899931680e+00	3.311500923e+00
2.910438679e+00	3.460129265e+00
2.920945678e+00	3.606589652e+00
2.931452677e+00	3.750382523e+00
2.941959676e+00	3.891012951e+00
2.952466674e+00	4.027991798e+00
2.962973673e+00	4.160837003e+00
2.973480672e+00	4.289075010e+00
2.983987671e+00	4.412242359e+00
2.994494670e+00	4.529887451e+00
3.005001669e+00	4.641572470e+00
3.015508667e+00	4.746875466e+00
3.026015666e+00	4.845392566e+00
3.036522665e+00	4.936740294e+00
3.047029664e+00	5.020557946e+00
3.057536663e+00	5.096510005e+00
3.068043662e+00	5.164288524e+00
3.078550661e+00	5.223615438e+00
3.089057659e+00	5.274244760e+00
3.099564658e+00	5.315964597e+00
3.110071657e+00	5.348598955e+00
3.120578656e+00	5.372009278e+00
3.131085655e+00	5.386095684e+00
3.141592654e+00	5.390797873e+00
