0,1.0000e+00,1,27994
0,1.0000e+00,178,27994
4,3.0491e-02,1119,27994
8,1.4911e-02,2239,27994
12,1.1840e-02,3359,27994
16,3.9604e-03,4479,27994
20,4.4694e-03,5598,27994
24,2.7870e-03,6718,27994
28,2.3537e-03,7838,27994
32,1.4889e-03,8958,27994
36,8.6166e-04,10077,27994
40,1.4048e-03,11197,27994
44,6.3003e-04,12317,27994
48,3.9059e-04,13437,27994
52,7.1795e-04,14556,27994
56,2.7763e-04,15676,27994
60,3.2031e-04,16796,27994
64,2.8347e-04,17916,27994
68,1.5246e-04,19035,27994
72,2.1370e-04,20155,27994
76,1.0631e-04,21275,27994
80,1.0259e-04,22395,27994
84,1.2357e-04,23514,27994
88,6.8212e-05,24634,27994
92,6.8093e-05,25754,27994
96,7.9603e-05,26874,27994
100,4.8559e-05,27993,27994
