freq(Hz)	6.00e+08	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
1.828217798e+00	4.171619814e-01
1.838724797e+00	4.181702462e-01
1.849231796e+00	4.175993163e-01
1.859738795e+00	4.155917686e-01
1.870245794e+00	4.123120478e-01
1.880752793e+00	4.079391077e-01
1.891259791e+00	4.026589218e-01
1.901766790e+00	3.966571281e-01
1.912273789e+00	3.901120631e-01
1.922780788e+00	3.831884218e-01
1.933287787e+00	3.760317526e-01
1.943794786e+00	3.687639594e-01
1.954301785e+00	3.614799491e-01
1.964808783e+00	3.542455102e-01
1.975315782e+00	3.470964700e-01
1.985822781e+00	3.400391265e-01
1.996329780e+00	3.330519063e-01
2.006836779e+00	3.260881598e-01
2.017343778e+00	3.190799630e-01
2.027850776e+00	3.119427678e-01
2.038357775e+00	3.045807139e-01
2.048864774e+00	2.968923998e-01
2.059371773e+00	2.887768994e-01
2.069878772e+00	2.801398123e-01
2.080385771e+00	2.708991388e-01
2.090892769e+00	2.609907873e-01
2.101399768e+00	2.503735426e-01
2.111906767e+00	2.390333475e-01
2.122413766e+00	2.269867831e-01
2.132920765e+00	2.142836658e-01
2.143427764e+00	2.010087111e-01
2.153934762e+00	1.872822535e-01
2.164441761e+00	1.732600394e-01
2.174948760e+00	1.591321438e-01
2.185455759e+00	1.451210845e-01
2.195962758e+00	1.314792286e-01
2.206469757e+00	1.184856036e-01
2.216976756e+00	1.064422273e-01
2.227483754e+00	9.567008160e-02
2.237990753e+00	8.650484395e-02
2.248497752e+00	7.929248452e-02
2.259004751e+00	7.438482247e-02
2.269511750e+00	7.213511556e-02
2.280018749e+00	7.289373753e-02
2.290525747e+00	7.700397499e-02
2.301032746e+00	8.479795410e-02
2.311539745e+00	9.659268658e-02
2.322046744e+00	1.126862070e-01
2.332553743e+00	1.333537598e-01
2.343060742e+00	1.588439859e-01
2.353567740e+00	1.893750564e-01
2.364074739e+00	2.251307031e-01
2.374581738e+00	2.662561094e-01
2.385088737e+00	3.128536353e-01
2.395595736e+00	3.649783801e-01
2.406102735e+00	4.226336077e-01
2.416609734e+00	4.857660932e-01
2.427116732e+00	5.542614828e-01
2.437623731e+00	6.279397928e-01
2.448130730e+00	7.065512077e-01
2.458637729e+00	7.897723660e-01
2.469144728e+00	8.772033502e-01
2.479651727e+00	9.683656140e-01
2.490158725e+00	1.062701093e+00
2.500665724e+00	1.159572746e+00
2.511172723e+00	1.258266759e+00
2.521679722e+00	1.357996632e+00
2.532186721e+00	1.457909336e+00
2.542693720e+00	1.557093667e+00
2.553200718e+00	1.654590887e+00
2.563707717e+00	1.749407682e+00
2.574214716e+00	1.840531362e+00
2.584721715e+00	1.926947188e+00
2.595228714e+00	2.007657599e+00
2.605735713e+00	2.081703054e+00
2.616242712e+00	2.148184089e+00
2.626749710e+00	2.206284144e+00
2.637256709e+00	2.255292641e+00
2.647763708e+00	2.294627705e+00
2.658270707e+00	2.323857930e+00
2.668777706e+00	2.342722509e+00
2.679284705e+00	2.351149086e+00
2.689791703e+00	2.349268659e+00
2.700298702e+00	2.337426925e+00
2.710805701e+00	2.316191496e+00
2.721312700e+00	2.286354479e+00
2.731819699e+00	2.248930040e+00
2.742326698e+00	2.205146636e+00
2.752833696e+00	2.156433775e+00
2.763340695e+00	2.104403251e+00
2.773847694e+00	2.050825009e+00
2.784354693e+00	1.997597877e+00
2.794861692e+00	1.946715627e+00
2.805368691e+00	1.900228914e+00
2.815875690e+00	1.860203821e+00
2.826382688e+00	1.828677858e+00
2.836889687e+00	1.807614341e+00
2.847396686e+00	1.798856223e+00
2.857903685e+00	1.804080444e+00
2.868410684e+00	1.824753960e+00
2.878917683e+00	1.862092571e+00
2.889424681e+00	1.917023678e+00
2.899931680e+00	1.990154010e+00
2.910438679e+00	2.081743298e+00
2.920945678e+00	2.191684739e+00
2.931452677e+00	2.319492965e+00
2.941959676e+00	2.464300043e+00
2.952466674e+00	2.624859873e+00
2.962973673e+00	2.799561117e+00
2.973480672e+00	2.986448619e+00
2.983987671e+00	3.183253022e+00
2.994494670e+00	3.387428102e+00
3.005001669e+00	3.596195141e+00
3.015508667e+00	3.806593428e+00
3.026015666e+00	4.015535869e+00
3.036522665e+00	4.219868476e+00
3.047029664e+00	4.416432445e+00
3.057536663e+00	4.602127396e+00
3.068043662e+00	4.773974350e+00
3.078550661e+00	4.929176946e+00
3.089057659e+00	5.065179492e+00
3.099564658e+00	5.179720447e+00
3.110071657e+00	5.270880067e+00
3.120578656e+00	5.337121073e+00
3.131085655e+00	5.377321346e+00
3.141592654e+00	5.390797873e+00
